AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=66 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1964192700 guest_counter_ticks=32342555 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=67 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1964392354 guest_counter_ticks=32542209 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=68 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1964432660 guest_counter_ticks=32582515 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=69 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1964632216 guest_counter_ticks=32782071 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=70 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1964672606 guest_counter_ticks=32822461 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=71 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1964872736 guest_counter_ticks=33022591 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=72 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1964912818 guest_counter_ticks=33062673 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=73 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1965152820 guest_counter_ticks=33302675 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=74 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1965352362 guest_counter_ticks=33502217 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=75 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1965392416 guest_counter_ticks=33542271 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=76 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1965444517 guest_counter_ticks=33594372 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=77 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1965590684 guest_counter_ticks=33740539 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=78 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1965632796 guest_counter_ticks=33782651 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=79 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1965832492 guest_counter_ticks=33982347 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=80 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1965872504 guest_counter_ticks=34022359 forwarding_ticks=14 injected=1
